Movie Spanish,Movie Name real,mi_info,Year,Runtime,Genre,Rating,Director,Language,Country,sinopsis,plataformas,links_plataformas
Chinatown,Chinatown,plot twist,1974,130,"Crimen, Misterio, Suspense",7.908,Roman Polanski,en,United States of America,"Los Ángeles, 1937. El detective Gittes, especializado en divorcios, recibe la visita de la esposa de Mulwray, el jefe del Servicio de Aguas de la ciudad, que sospecha que su marido la engaña. Al mismo tiempo, Gittes descubre que los agricultores acusan a Mulwray de corrupción por su negativa a construir un pantano que paliaría la sequía que sufren. Poco después, el escándalo salta a la prensa, pero la cosa se complica cuando una mujer se presenta en el despacho de Gittes con una sorprendente revelación.","Movistar Plus+ Ficción Total , SkyShowtime",https://www.themoviedb.org/movie/829-chinatown/watch?locale=ES
Chronicle,Chronicle,,2012,83,"Ciencia ficción, Drama, Suspense",6.852,Josh Trank,en,United States of America,"Chronicle cuenta la historia de tres adolescentes normales y corrientes que de pronto desarrollan superpoderes que les permiten hacer cosas que nunca creyeron posibles. Mientras intentan aprender a controlar sus habilidades para usarlas en su beneficio, sus vidas se adentran en una espiral fuera de control, y se muestra el lado oscuro de sus recién descubiertos poderes con consecuencias inesperadas.",Disney Plus,https://www.themoviedb.org/movie/76726-chronicle/watch?locale=ES
Citizenfour,Citizenfour,,2014,113,Documental,7.736,Laura Poitras,en,"Germany, United Kingdom, United States of America","En 2013, el analista informático Edward Snowden filtró documentos clasificados que había obtenido de la NSA,  la Agencia de Seguridad Nacional Norteamericana, detallando la vigilancia que el gobierno estadounidense ejerce sobre sus ciudadanos. Después de pasar a la clandestinidad para evitar la extadición y el arresto, Snowden pasó a convertirse en noticia. Tanto que su notoriedad amenazaba con eclipsar las implicaciones de la información que había revelado.","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/293310-citizenfour/watch?locale=ES
Cloud atlas,El atlas de las nubes,,2012,172,"Drama, Ciencia ficción",6.895,Lilly Wachowski,en,"Germany, United States of America, China, Hong Kong, Singapore","El atlas de las nubes es una novela que da la vuelta al mundo y recorre desde el siglo XIX hasta un futuro apocalíptico, a través de seis historias entrelazadas. El relato se abre en 1850 con el regreso del notario estadounidense Adam Ewing desde las islas Chatham a su California natal. Durante el viaje, Ewing traba amistad con un médico, el doctor Goose, que comienza a tratarle de una extraña enfermedad causada por un parásito cerebral... Repentinamente, la acción se traslada a 1931 en Bélgica, donde Robert Frobisher, un compositor bisexual que ha sido desheredado, se introduce en el hogar de un artista enfermizo, su seductora esposa y su núbil hija... De ahí saltamos a la Costa Oeste en la década de los setenta, cuando Luisa Rey destapa una red de avaricia y crimen que pone en peligro su vida... Y, del mismo modo, con idéntica maestría, viajamos a la ignominiosa Inglaterra de nuestros días.",,https://www.themoviedb.org/movie/83542-cloud-atlas/watch?locale=ES
Clue,El juego de la sospecha (Cluedo),plot twist,1985,94,"Comedia, Suspense, Crimen, Misterio",7.2,Jonathan Lynn,en,United States of America,"En una gran y apartada mansión victoriana se reúnen varios personajes pintorescos para cenar ante una misteriosa invitación de un anfitrión desconocido. Todos ellos tienen secretos que ocultar, por los que son vilmente chantajeados desde hace años. Cuando la casa se queda a oscuras por culpa de un momentáneo apagón de luz, el chantajista aparece asesinado en el salón. Ahora deben averiguar quién de ellos ha sido el culpable, una tarea muy complicada teniendo en cuenta que todos ellos tenían motivos de peso para cometer el crimen.","Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/15196-clue/watch?locale=ES
Coherence,Coherence,,2014,89,"Suspense, Ciencia ficción",7.215,James Ward Byrkit,en,"United Kingdom, United States of America","Fue en Finlandia, en 1923. El paso de un cometa hizo que los habitantes de un pueblo quedaran completamente desorientados, hasta el punto que una mujer llamó a la policía alertando de que el hombre que estaba en su casa no era su marido. Décadas más tarde, un grupo de amigos recuerda este caso mientras cenan, brindan y se preparan para ver pasar un cometa. ¿Puede acaso repetirse la misma historia?",Filmin,https://www.themoviedb.org/movie/220289-coherence/watch?locale=ES
Columbus,Columbus,,2017,104,Drama,7.1,Kogonada,en,United States of America,"Un hombre se encuentra atrapado en Columbus, Indiana, donde su padre arquitecto está en coma. El hombre conoce a una joven que quiere quedarse en Columbus con su madre, una adicta que se está recuperando, en lugar de perseguir sus sueños.","MUBI Amazon Channel, MUBI",https://www.themoviedb.org/movie/414453-columbus/watch?locale=ES
Community,Untitled Community Movie,,,0,Comedia,0.0,,en,United States of America,,,
Confessions,Confessions II – The Film,plot twist,2026,14,Música,8.8,Solomon Chase,en,"United States of America, France, Italy",,,
Contact,Contact,,1997,150,"Drama, Ciencia ficción, Misterio",7.444,Robert Zemeckis,en,United States of America,"Eleanor Arroway perdió la fe en Dios tras la muerte de sus padres en su niñez. Sin embargo, Ellie ha desarrollado una clase distinta de fe en lo desconocido: trabaja con un grupo de científicos escrutando ondas de radio procedentes del espacio exterior en busca de señales de inteligencias extraterrestres. Su trabajo se verá recompensado cuando detecte una señal desconocida que supuestamente porta las instrucciones de fabricación de una máquina para reunirse con los creadores del mensaje.","Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/686-contact/watch?locale=ES
Contratiempo,Contratiempo,,2017,107,"Drama, Misterio, Suspense",8.079,Oriol Paulo,es,Spain,"Barcelona, España. Adrián Doria, un joven y exitoso empresario acusado de homicidio, se reúne una noche con Virginia Goodman, una abogada experta en interrogatorios, con el propósito de urdir una estrategia de defensa.",,https://www.themoviedb.org/movie/411088-contratiempo/watch?locale=ES
Convicto,Con Air (Convictos en el aire),carcel,1997,116,"Acción, Suspense, Crimen",6.776,Simon West,en,United States of America,"Un grupo de presos considerados muy peligrosos son trasladados a un nuevo centro penitenciario. En el avión viaja también Cameron Poe, que acaba de conseguir la libertad condicional y cuyo único deseo es reunirse de nuevo con su esposa y su hija. Sin embargo, durante el trayecto, Poe se ve envuelto en un secuestro aéreo urdido meticulosamente por Cyrus Grissom. Mientras que Cameron intenta evitar que Cyrus y sus secuaces masacren a toda la tripulacion y que el avión se estrelle contra la ciudad de Las Vegas, Vince Larkin, de la policia judicial, tiene que convencer a sus superiores para que no hagan explotar al avion con todos sus pasajeros.",Disney Plus,https://www.themoviedb.org/movie/1701-con-air/watch?locale=ES
Costilla adam,La costilla de Adán,,1949,101,"Comedia, Romance",7.1,George Cukor,en,United States of America,"Amanda y Adam Bonner son un idílico matrimonio de abogados cuya paz conyugal se ve afectada cuando un caso los enfrenta en los tribunales como defensora y fiscal respectivamente: una mujer es juzgada por disparar contra su marido y la amante de éste. Adam no duda de la culpabilidad de la acusada, pero Amanda no es de la misma opinión.","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/25431-adam-s-rib/watch?locale=ES
Crazywise,Crazywise,paula social,2017,82,Documental,6.0,Kevin Tomlinson,en,United States of America,,,https://www.themoviedb.org/movie/457568-crazywise/watch?locale=ES
Criaturas celestiales,Criaturas celestiales,LGTB,1994,110,"Drama, Fantasía",7.0,Peter Jackson,en,"New Zealand, United States of America, Germany","Nueva Zelanda, mediados del siglo XX. La amistad entre dos compañeras de colegio adolescentes es tan intensa y estrecha que despierta el recelo de los padres de una de ellas. Las chicas crean un mundo imaginario y lleno de fantasía en el que se refugian para vivir de espaldas al resto del mundo. Basada en hechos reales.",,
Cuentos de tokio,Cuentos de Tokio,104,1953,139,Drama,8.2,Yasujirō Ozu,ja,Japan,"Una pareja de ancianos viaja a Tokio para visitar a sus hijos, pero ninguno de ellos tiene tiempo para atenderlos, por lo que deciden enviarlos a un balneario. Cuando regresan, la madre pasa una noche en la casa de una nuera, viuda de uno de sus hijos. A diferencia de sus cuñados, Noriko muestra afecto por sus suegros y conforta a la anciana.","Movistar Plus+ Ficción Total , Movistar Plus+, Acontra Plus Amazon Channel, Acontra Plus",https://www.themoviedb.org/movie/18148/watch?locale=ES
Cumbres borrascosas,“Cumbres Borrascosas”,68,2026,136,"Romance, Drama",6.7,Emerald Fennell,en,"United States of America, United Kingdom","Una audaz y original reinterpretación de una de una de las historias de amor más grandes de todos los tiempos, 'Cumbres Borrascosas' de Emerald Fennell está protagonizada por Margot Robbie como Cathy y Jacob Elordi como Heathcliff, cuya pasión prohibida se transforma de romántica a intoxicante en una épica historia de lujuria, amor y locura.","Movistar Plus+ Ficción Total , HBO Max, HBO Max Amazon Channel",https://www.themoviedb.org/movie/1316092-wuthering-heights/watch?locale=ES
D.e.b.s,D.E.B.S. (Espías en acción),LGTB,2005,92,"Acción, Comedia, Romance",6.5,Angela Robinson,en,United States of America,"Historia de un grupo de sexys colegialas agentes secretos. Lucy Diamond (Jordana Brewster), la atractiva jefa de un grupo criminal, ha vuelto a Estados Unidos, y el D.E.B.S., un grupo de espías formado por chicas de instituto, le siguen la pista. Pero cuando su agente más importante, la bella Amy Bradshaw (Sara Foster), desaparece misteriosamente tras enfrentarse cara a cara con la delincuente, el D.E.B.S. comienza a buscar el escondite de Lucy, sin sospechar que quizá Amy no quiera ser rescatada...",,https://www.themoviedb.org/movie/540-d-e-b-s/watch?locale=ES
Dazed and confused,Movida del 76,,1993,102,"Comedia, Drama",7.3,Richard Linklater,en,United States of America,"Al igual que hiciera George Lucas en ""American Graffiti"" veinte años antes, Linklater retrata el último día de clase de unos estudiantes de un instituto, en 1976. Una fiesta a base de cerveza, marihuana y novatadas en un día único tanto para los chicos que se van para siempre como para los novatos que acaban de llegar.",,https://www.themoviedb.org/movie/9571-dazed-and-confused/watch?locale=ES
Dead man's shoes,Dead Man's Shoes,plot twist,2004,90,"Drama, Suspense, Crimen",7.1,Shane Meadows,en,United Kingdom,"Richard  siempre fue protector con su hermano menor Anthony , un joven algo corto. Pero cuando Richard abandona el pueblo para unirse al ejército, Anthony cae bajo la influencia de Sonny, un traficante de drogas.",,
Dead set,Muerto en una semana,,2018,90,"Comedia, Acción, Drama",6.304,Tom Edmunds,en,United Kingdom,"Numerosos intentos de suicidio fallidos conducen a William a contratar a un sicario, Lesie, apunto de retirarse del negocio, para que haga el trabajo por él. Pero William encuentra, por fin, una razón para seguir con vida. El problema es que el contrato está firmado y el trabajo, pagado. Y aunque el asesino no tiene inconveniente en cancelar su trabajo, el jefe de este tiene otra cosa en mente.","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/468219-dead-in-a-week-or-your-money-back/watch?locale=ES
Dead to me,Amanecer de los muertos,LGTB,2004,101,"Terror, Ciencia ficción",7.071,Zack Snyder,en,United States of America,"Un grupo de supervivientes se refugia en un centro comercial tras una epidemia que ha convertido a la mayoría de la población en zombis. El líder del grupo es el policía Kenneth Hall (Ving Rhames), que junto con otros personajes como la enfermera Ana Clark (Sarah Polley), el vendedor Michael (Jake Weber) o el experto en armas Andy (Bruce Bohne) intenta sobrevivir y escapar de los muertos vivientes. El grupo tendrá que enfrentarse a los zombis, a otros supervivientes hostiles y a sus propios conflictos internos, mientras busca una salida y una esperanza.",,https://www.themoviedb.org/movie/924-dawn-of-the-dead/watch?locale=ES
Deadly Class,Siete chicas peligrosas,Serie,1979,86,Comedia,4.0,Pedro Lazaga Sabater,it,"Spain, Italy","A siete mujeres se les mete entre ceja y ceja enriquecerse como sea. Ni el millonario dueño de unos grandes almacenes, ni un galante aristócrata italiano, ni un joyero atildado, ni un venezolano engreído, ni un acaudalado napolitano, podrán resistirse a su determinación.",,
Dear zachary: a letter to a son about his father,Dear Zachary: A Letter to a Son About His Father,plot twist,2008,95,"Documental, Crimen",8.041,Kurt Kuenne,en,United States of America,"Poco después de que su amigo Andrew Bagby fuese asesinado por su ex-novia Shirley Turner, el cineasta Kurt Kuenne descubre que Turner está embarazada de Bagby. Kuenne decide crear un documental celebrando la vida de Bagby, con la idea de que sirva para que su hijo pueda conocer quién fué su padre. Viajando a través de los Estados Unidos, Kuenne entrevista a todo aquel que alguna vez conoció a su amigo, antes de que su memoria se desvanezca. Entre tanto, al enterarse de que Turner ha volado a Canadá, los padres de Bagby dejan todo atrás para irse a Canadá a luchar por la custodia de su nieto, Zachary. Sin embargo, durante la producción, el gobierno canadiense decide liberar a Turner, la asesina de Bagby, y darle la custodia de Zachary.",,
Death Parade,Souvenirs of Death,Anime,1948,10,"Drama, Historia",7.7,Edward L. Cahn,en,United States of America,,,
Death's Game,デス・ゲーム・パーク,,2010,89,"Crimen, Drama",5.3,Hirotaka Takada,ja,Japan,,,
Deep red,Rojo oscuro,plot twist,1975,110,"Terror, Suspense, Misterio",7.722,Dario Argento,it,Italy,"Un compositor inglés (Hemmings) presencia en Roma el brutal asesinato de una médium, e inmediatamente trata de localizar al sádico asesino.","FlixOlé, Amazon Prime Video, Movistar Plus+, Amazon Prime Video with Ads, Movistar Plus+ Ficción Total , Shadowz Amazon Channel, FlixOlé Amazon Channel",https://www.themoviedb.org/movie/20126-profondo-rosso/watch?locale=ES
Delirium,Crímenes en portada,,1987,90,"Terror, Misterio, Suspense",5.4,Lamberto Bava,it,Italy,"Pussycat es una de las revistas eróticas más vendidas del momento. Su propietaria y directora, recibe continuas y desagradables presiones de Flora para que le venda el negocio. Al mismo tiempo tienen lugar una serie de terribles asesinatos de las modelos de la revista y de personas allegadas a la misma, cuya culminación es la recepción por parte de la directora de una foto de cada uno de los cadáveres ante un póster de ella.",,
Demolition man,Demolition Man,,1993,115,"Crimen, Acción, Ciencia ficción",6.8,Marco Brambilla,en,United States of America,"En el año 1996 un edificio estalla con 30 rehenes dentro, tras una brutal lucha entre Simon Phoenix, un criminal psicópata y John Spartan, un policía conocido como Demolition Man. Ambos son condenados a ser congelados hasta 2032, año en el que se vuelven a encontrar.","Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/9739-demolition-man/watch?locale=ES
Depredador,Depredador dominante,20,2026,96,"Acción, Suspense",6.8,Baltasar Kormákur,en,"United States of America, Iceland, Australia",Una mujer en duelo se adentra en la naturaleza de Australia para ponerse a prueba y queda atrapada en un juego mortal con un astuto asesino que la considera su presa.,"Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/1318447-apex/watch?locale=ES
Desafío total,Desafío total,,1990,113,"Acción, Aventura, Ciencia ficción",7.321,Paul Verhoeven,en,United States of America,"Tierra, año 2084. Doug Quaid, un hombre normal con una vida tranquila, está atormentado por una pesadilla que le lleva todas las noches hasta Marte. Decide entonces recurrir al laboratorio Memory-call, una empresa de vacaciones virtuales que le ofrece la oportunidad de materializar su sueño gracias a un fuerte alucinógeno. Sin embargo, su intento resulta en fracaso. La droga resucita de su memoria una estancia verdadera en Marte cuando era el más temido agente del cruel Coohagen.","Amazon Prime Video, Tivify, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/861-total-recall/watch?locale=ES
Dial m for murder,Crimen perfecto,plot twist,1954,104,"Suspense, Crimen, Drama",8.002,Alfred Hitchcock,en,United States of America,"Tony Wendice maquina un plan para deshacerse de Margot, su esposa infiel. Pero la casualidad hará que sea a ella a quien finalmente acusen de asesinato. La inestimable ayuda de un inspector de policía ayudará a resolver el misterioso crimen.",,https://www.themoviedb.org/movie/521-dial-m-for-murder/watch?locale=ES
Diamantes en bruto,Diamantes en bruto,thriller,2019,136,"Drama, Suspense, Crimen",7.166,Benny Safdie,en,United States of America,Howard Ratner es el propietario de una joyería ubicada en el barrio de los diamantes de la ciudad de Nueva York que vende en exclusiva a ricos y famosos. Un día se produce un importante robo que le obliga a tener que afrontar una deuda económica que no está preparado para pagar.,"Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/473033-uncut-gems/watch?locale=ES
Días extraños,Días extraños,Plano secuencia,1995,145,"Crimen, Drama, Ciencia ficción, Suspense",7.013,Kathryn Bigelow,en,United States of America,"Faltan dos días para la llegada del año 2000 y las calles de Los Ángeles están abarrotadas de gente. Lenny, que ha sido expulsado de la Brigada Antivicio, se dedica a la captación de clientes para venderles unos clips que reproducen las vivencias de otras personas.",,
Die tomorrow,Al filo del mañana,,2014,113,"Acción, Ciencia ficción",7.639,Doug Liman,en,United States of America,"En un futuro no muy lejano, invade la Tierra una raza de extraterrestres invencibles. Al comandante William Cage, un oficial que nunca ha entrado en combate, le encargan una misión casi suicida y resulta muerto. Entra entonces en un bucle temporal, en el que se ve obligado a luchar y morir una y otra vez. Pero las múltiples batallas que libra lo hacen cada vez más hábil y eficaz en su lucha contra los alienígenas. Su compañera de combate es Rita Vrataski, una guerrera de las Fuerzas Especiales. Adaptación del manga de Hiroshi Sakurazaka.",,https://www.themoviedb.org/movie/137113-edge-of-tomorrow/watch?locale=ES
Dollface,Dollface,maria carbó,2013,15,"Drama, Comedia",0.0,Louis Paxton,en,United Kingdom,,,
Don't look now,La gran juerga,plot twist,1966,132,"Comedia, Bélica",7.928,Gérard Oury,fr,"France, United Kingdom","Segunda Guerra Mundial (1939-1945). Parodia de la ocupación de Francia por los alemanes. Terry-Thomas es un piloto inglés que se encuentra perdido en la Francia ocupada, mientras que Bourvil y Louis de Funès son dos parisinos que, casi involuntariamente, ayudan a la resistencia contra los nazis. Un film que en Francia obtuvo un enorme éxito de taquilla.",Filmin,https://www.themoviedb.org/movie/8290-la-grande-vadrouille/watch?locale=ES
Drácula,Drácula,90,2025,130,"Terror, Fantasía, Romance",7.1,Luc Besson,fr,France,"Tras una devastadora pérdida, el príncipe Vlad II, conde Drácula (Caleb Landy Jones), renuncia a Dios y es maldecido a la vida eterna, condenado a vagar solitario a lo largo de los siglos. Este es el relato sobre la historia de amor jamás contada del infame vampiro, que desafiará al destino y la mortalidad en busca de su amor perdido.","Amazon Prime Video, Amazon Prime Video with Ads",https://www.themoviedb.org/movie/1246049-dracula/watch?locale=ES
Droste no hate de bokura,Más allá de los dos minutos infinitos,peli con movil,2020,70,"Comedia, Ciencia ficción",7.3,Junta Yamaguchi,ja,Japan,"Regresando a su apartamento tras terminar la jornada, Kato, propietario del Café Phalam, se ve a sí mismo hablándose desde la pantalla de su ordenador: ""Soy el yo del futuro. Dos minutos en el futuro"". La pantalla de su casa y la del ordenador del café están conectadas de alguna manera. Kato vuelve a su establecimiento y, junto a clientes habituales, empieza a explorar este fenómeno.",Filmin,https://www.themoviedb.org/movie/805627/watch?locale=ES
Easy rider,Easy Rider (Buscando mi destino),92,1969,90,"Aventura, Drama",7.054,Dennis Hopper,en,United States of America,"Dos jóvenes motoristas de Los Ángeles emprenden un viaje hacia Nueva Orleáns. Cruzan todo el país con la intención de descubrir América. Después de vender cocaína a un hombre de Los Ángeles, Billy y Wiatt (alias Capitán América) asisten a la fiesta del Mardî Gras. Pronto reanudan el viaje y se van encontrando con personajes de lo más estrafalario, entre ellos un ranchero y su familia, o un autoestopista de una comuna hippie, antes de ser arrestados en un pueblecito por parar sin un permiso. Su compañero de celda, un abogado borracho, les hace un gran favor sacándoles de la cárcel y luego decide unirse a ellos.",Filmin,https://www.themoviedb.org/movie/624-easy-rider/watch?locale=ES
Edge of tomorrow,Al filo del mañana,,2014,113,"Acción, Ciencia ficción",7.639,Doug Liman,en,United States of America,"En un futuro no muy lejano, invade la Tierra una raza de extraterrestres invencibles. Al comandante William Cage, un oficial que nunca ha entrado en combate, le encargan una misión casi suicida y resulta muerto. Entra entonces en un bucle temporal, en el que se ve obligado a luchar y morir una y otra vez. Pero las múltiples batallas que libra lo hacen cada vez más hábil y eficaz en su lucha contra los alienígenas. Su compañera de combate es Rita Vrataski, una guerrera de las Fuerzas Especiales. Adaptación del manga de Hiroshi Sakurazaka.",,https://www.themoviedb.org/movie/137113-edge-of-tomorrow/watch?locale=ES
Eighth grade,Eighth Grade,4a,2018,93,"Comedia, Drama",7.155,Bo Burnham,en,United States of America,"Narra la historia de Kayla, una joven de trece años que está viviendo la transición entre niña y adolescente. Intentará superar el último desastroso curso de la escuela, para poder comenzar una nueva etapa en el instituto.",,https://www.themoviedb.org/movie/489925-eighth-grade/watch?locale=ES
El acorazado potemkin,El acorazado Potemkin,84,1925,75,"Drama, Historia, Bélica",7.6,Sergei Eisenstein,ru,Soviet Union,"Basada en hechos reales ocurridos en 1905, narra como la tripulación del acorazado Príncipe Potemkin de Táurida se cansan del tratamiento vejatorio e injusto de los oficiales. El detonante de la situación es la carne podrida que éstos quieren que los marineros se coman. Con este motín comienza el reguero revolucionario por Odesa y toda Rusia.","Movistar Plus+ Ficción Total , Movistar Plus+, Filmin",https://www.themoviedb.org/movie/643/watch?locale=ES
El amor es extraño,El amor es extraño,,2014,94,Drama,6.3,Ira Sachs,en,"United States of America, Greece, Brazil","Cuando en 2011 se legaliza en Nueva York el matrimonio entre dos personas del mismo sexo, Ben y George, que llevan 39 años juntos, deciden casarse. Poco tiempo después despiden a George sin explicación alguna de la escuela católica donde enseña música y pierden su piso en Chelsea. Una pareja gay de policías acoge a George, y Ben se va a vivir a casa de su sobrino en Brooklyn. El constante esfuerzo para ser amables, tener la obligación de vivir en casa de otros y la preocupación por un futuro incierto son motivos de estrés para todos.",Filmin,https://www.themoviedb.org/movie/244268-love-is-strange/watch?locale=ES
El ángel,El ángel exterminador,,1962,93,"Comedia, Drama, Fantasía",7.931,Luis Buñuel,es,Mexico,"Después de una cena en la mansión de los Nóbile, los invitados descubren que, por razones inexplicables, no pueden salir del lugar. Al prolongarse la situación durante varios días, la cortesía en el trato deja paso al más primitivo y brutal instinto de supervivencia. Una parábola sobre la descomposición de una clase social encerrada en sí misma.","Movistar Plus+ Ficción Total , FlixOlé, FlixOlé Amazon Channel, Cultpix",https://www.themoviedb.org/movie/29264-el-angel-exterminador/watch?locale=ES
El año más violento,El año más violento,,2014,125,"Crimen, Drama, Suspense",6.605,J.C. Chandor,en,"United Arab Emirates, United States of America","Narra una historia ambientada en Nueva York en 1981, estadísticamente el año más violento de la historia en la ciudad norteamericana. En ese contexto, un inmigrante y su familia intentan sacar su negocio adelante mientras la violencia y la corrupción amenazan con destruir todo lo que han logrado hasta ese momento.","Amazon Prime Video, Amazon Prime Video with Ads",https://www.themoviedb.org/movie/241239-a-most-violent-year/watch?locale=ES
El camino a casa,El camino a casa,mamá,1999,89,"Drama, Romance",7.458,Zhang Yimou,zh,"China, Hong Kong, United States of America","Luo Yusheng es un hombre de negocios que regresa a su casa, en el norte de China, para asistir al funeral de su padre, el maestro del pueblo. La obsesión de su anciana madre sobre la escrupulosa observación de los ritos fúnebres le resulta inexplicable, pero acaba comprendiendo que el respeto a las milenarias tradiciones es vital tanto para su madre como para los habitantes del pueblo. Un drama sobre la tensión generacional, el respeto a los mayores y la superación de las viejas costumbres que conquistó a la crítica allá donde se estrenó.",,https://www.themoviedb.org/movie/12276-the-road-home/watch?locale=ES
El cazador,Van Helsing,61,2004,131,"Terror, Aventura, Acción",6.416,Stephen Sommers,en,"Czech Republic, United States of America","Siglo XIX. En medio de los montes de los Cárpatos está la misteriosa y mítica Transilvania, donde el mal siempre está presente, el peligro aparece cuando el sol se pone... y donde toman forma los monstruos que habitan las pesadillas de los hombres.","Movistar Plus+ Ficción Total , SkyShowtime",https://www.themoviedb.org/movie/7131-van-helsing/watch?locale=ES
El color del dinero,El color del dinero,tom cruise,1986,117,Drama,6.857,Martin Scorsese,en,United States of America,"Eddie Felson, antiguo campeón de billar retirado, vive de su negocio de licores. Un día, en una sala de juego, conoce a Vincent, un joven jugador de billar, que aún no ha encontrado un oponente de su talla, y que siempre va acompañado de su novia, que es la que se encarga de las apuestas que se hacen a favor de Vincent.",,https://www.themoviedb.org/movie/11873-the-color-of-money/watch?locale=ES
El congreso,El congreso,,2013,120,"Drama, Ciencia ficción, Animación",6.427,Ari Folman,en,"Belgium, France, Germany, Israel, Luxembourg, Poland","Necesitada del dinero, Robin Wright firma un contrato según el cual los estudios harán una copia de ella y la podrán utilizar como les plazca. La actriz volverá a escena como invitada para un congreso, en un mundo que ha cambiado completamente. Basada en una novela de Stanislaw Lem, se trata del retrato de un mundo que se dirige inevitablemente hacia la irrealidad.","Movistar Plus+ Ficción Total , Movistar Plus+, Filmin",https://www.themoviedb.org/movie/152795-the-congress/watch?locale=ES
El crepúsculo de los dioses,El crepúsculo de los dioses,81,1950,110,Drama,8.276,Billy Wilder,en,United States of America,"Joe Gillis es un joven escritor de segunda fila que, acosado por sus acreedores, se refugia casualmente en la mansión de Norma Desmond, antigua estrella del cine mudo, que vive fuera de la realidad, acompañada únicamente de su fiel criado Max. A partir de ese momento, la actriz pretende que Joe corrija un guión que ella ha escrito y que va a significar su regreso al cine.",,https://www.themoviedb.org/movie/599-sunset-boulevard/watch?locale=ES
El espejo,El espejo,113,1943,80,Drama,6.375,Francisco Múgica,es,Argentina,Una mujer rememora ante el espejo su pasado romántico y el sacrificio que realizó en beneficio de su madre y de su hermana.,,
El expreso de medianoche,El expreso de medianoche,,1978,121,"Drama, Crimen",7.4,Alan Parker,en,"United Kingdom, United States of America","Billy Hayes, un joven estadounidense, es detenido en el aeropuerto de Estambul cuando se dispone a subir a un avión con varios paquetes de hachís. Acusado de uno de los delitos más graves en Turquía, Billy es condenado a cuatro años de cárcel, donde sufrirá terribles penalidades en un sistema penal brutal e inhumano.","Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/11327-midnight-express/watch?locale=ES
El graduado,El graduado,clasicas que no vi,1967,106,"Drama, Romance, Comedia",7.6,Mike Nichols,en,United States of America,"Benjamin Braddock (Dustin Hoffman) vuelve a casa después de terminar sus estudios universitarios. Es un joven que alberga un gran rencor contra la hipocresía y la corrupción de la sociedad que lo rodea. La señora Robinson (Anne Bancroft), una amiga de la familia, se encapricha de él y lo hace su amante. Pero cuando Benjamin conoce a Elaine (Katharine Ross), la hija de la señora Robinson, todo se complica...","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/37247-the-graduate/watch?locale=ES
El gran dictador,El gran dictador,15,1940,125,"Comedia, Bélica",8.3,Charlie Chaplin,en,United States of America,"Un humilde barbero judío tiene un parecido asombroso con el dictador de la nación Tomania, que promete sacar adelante y que culpa a los judíos de la situación del país. El dictador ataca al país fronterizo, pero es confundido con el barbero por sus propios guardias, siendo ingresado en un campo de concentración. Simultáneamente, el pobre barbero es confundido con el dictador...","Acontra Plus Amazon Channel, Acontra Plus",https://www.themoviedb.org/movie/914-the-great-dictator/watch?locale=ES
El guateque,El guateque,,1968,99,Comedia,7.294,Blake Edwards,en,United States of America,"Hrundi V. Bakshi es un patoso actor de origen hindú que se encuentra rodadando una película en el desierto. Sus continuas meteduras de pata le llevan a ser despedido del rodaje. Curiosamente recibe la invitación a una fiesta organizada por el productor de su última película. En la fiesta todos parecen felices, pero Hrundi no conoce a nadie y ante tanta sofisticación social, empezarán a sucederse curiosas situaciones.","MGM Plus Amazon Channel, Filmin",https://www.themoviedb.org/movie/10794-the-party/watch?locale=ES
El halcón maltés,El halcón maltés,78,1941,100,"Misterio, Crimen, Suspense",7.705,John Huston,en,United States of America,"Un detective privado es abordado por una misteriosa mujer, que dice estar amenazada. Pero tanto el perseguidor como el hombre encargado de su protección aparecen muertos. Todo parece girar alrededor de una estatua de un halcón de valor incalculable.",Filmin,https://www.themoviedb.org/movie/963-the-maltese-falcon/watch?locale=ES
El hombre de la cámara,El hombre de la cámara,114,1929,68,Documental,7.8,Dziga Vertov,ru,Soviet Union,"Un cámara deambula con una cámara colgada del hombro, documentando la vida urbana con una deslumbrante inventiva.",GuideDoc,https://www.themoviedb.org/movie/26317/watch?locale=ES
El hombre de una tierra salvaje,El hombre de una tierra salvaje,,1971,104,"Western, Aventura, Drama",6.238,Richard C. Sarafian,en,United States of America,"En 1820, un trampero que sirve de guía a una expedición que se dirige desde Canadá a Missouri, después de ser atacado por un oso es abandonado a su suerte por sus compañeros, que huyen acosados por los indios. Sin embargo, sobrevive y cuando se recupera de sus heridas va tras ellos para vengarse.",,https://www.themoviedb.org/movie/46845-man-in-the-wilderness/watch?locale=ES
