Movie Spanish,Movie Name real,mi_info,Year,Runtime,Genre,Rating,Director,Language,Country,sinopsis,plataformas,links_plataformas
A tale of two sisters,Dos hermanas,plot twist,2003,114,"Drama, Terror, Misterio",7.098,Kim Jee-woon,ko,South Korea,"Dos hermanas llegan a la nueva casa que su padre viudo comparte con su nueva esposa. La creciente crueldad de la madrastra, unida a las apariciones del fantasma de la madre de las jóvenes, irá creando una atmósfera inquietante. (FILMAFFINITY)","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/4552/watch?locale=ES
Ablution,Ablution,LGTB,2017,15,Drama,1.0,Omar Al Dakheel,en,United States of America,,,
Adam,Black Adam,,2022,124,"Acción, Aventura, Ciencia ficción",6.8,Jaume Collet-Serra,en,United States of America,"Casi 5000 años después de que los dioses antiguos le concediesen sus poderes y tras ser encarcelado, Black Adam queda liberado de su tumba terrenal y está listo para hacer justicia a su manera en el mundo moderno.","Movistar Plus+ Ficción Total , HBO Max, HBO Max Amazon Channel",https://www.themoviedb.org/movie/436270-black-adam/watch?locale=ES
Adaptation,Adaptation. El ladrón de orquídeas,,2002,116,"Comedia, Crimen, Drama",7.336,Spike Jonze,en,United States of America,"Charlie Kaufman, un guionista de Los Ángeles, vive un periodo de crisis creativa, todo lo contrario que su hermano gemelo Donald. Charlie escribe tal como vive: con gran dificultad y lleno de inseguridades, mientras que Donald vive tal como escribe: con dejadez. Por su parte, Susan escribe sobre la vida, pero es incapaz de vivirla. Por el contrario, la intensa y aventurera vida de John es digna de una novela.","Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/2757-adaptation/watch?locale=ES
Agárralo como puedas,Agárralo como puedas,,2025,85,"Acción, Comedia, Crimen",6.4,Akiva Schaffer,en,United States of America,"El torpe teniente Frank Drebin Jr. intenta resolver un asesinato vinculado a un magnate tecnológico. Mientras investiga, su unidad policial corre peligro de ser cerrada. Con la ayuda de una escritora de crímenes, Frank se verá envuelto en situaciones tan absurdas como explosivas. Película reboot basada en la popular franquicia de comedia ""Agárralo como puedas"" y la serie de televisión ""Police Squad!"".","Movistar Plus+ Ficción Total , SkyShowtime",https://www.themoviedb.org/movie/1035259-the-naked-gun/watch?locale=ES
aimee y jaguar,Aimée y Jaguar,LGTB,1999,125,"Drama, Historia, Romance",6.7,Max Färberböck,de,Germany,"En el Berlín de la II Guerra Mundial, Lilly, esposa de un oficial nazi, ama de casa y madre de cuatro hijos, lleva una vida convencional. Felice es judía y trabaja para un periódico nazi bajo un nombre falso, además de suministrar información a la resistencia. Cuando se conocen inician una historia de amor apasionada. Se escriben a diario cartas y poemas con los nombres ficticios de Aimèe y Jaguar. Cuando Lilly llega a saber que Felice es judía, rompe con su vida y emprende una serie de acciones: se divorcia de su marido nazi y hace que Felice se traslade a su apartamento. Pero, un día, las SS están esperándolas en el apartamento de Lilly...",,
"Alien, el octavo pasajero","Alien, el octavo pasajero",10,1979,117,"Terror, Ciencia ficción",8.2,Ridley Scott,en,"United States of America, United Kingdom","De regreso a la Tierra, la nave de carga Nostromo interrumpe su viaje y despierta a sus siete tripulantes. El ordenador central, MADRE, ha detectado la misteriosa transmisión de una forma de vida desconocida, procedente de un planeta cercano aparentemente deshabitado. La nave se dirige entonces al extraño planeta para investigar el origen de la comunicación.",Disney Plus,https://www.themoviedb.org/movie/348-alien/watch?locale=ES
All cheerleaders die,All Cheerleaders Die - Todas las Cheerleaders Muertas,LGTB,2013,90,"Terror, Suspense, Comedia",5.193,Lucky McKee,en,United States of America,"Mäddy Killian es una joven rebelde de 17 años del instituto Blackfoot con la misión de hacer caer al capitán del equipo de futbol. Se alistará a un grupo de cheerleaders para conseguir su propósito, pero una serie de trágicos acontecimientos harán que las chicas se vean empujadas a una batalla sobrenatural que culminará en una noche llena de mutilaciones que nunca olvidarán.",,
All is lost,Cuando todo está perdido,,2013,106,"Acción, Aventura, Drama",6.647,J.C. Chandor,en,United States of America,"En el transcurso de un viaje en solitario a través del Océano Índico, un hombre descubre al despertar que el casco de su velero de 12 metros se ha agrietado tras una colisión con un contenedor que flotaba a la deriva. A pesar de las reparaciones, su intuición de marinero y una fuerza física que desafía su edad, a duras penas logra sobrevivir a la tormenta. Pero el sol implacable, la amenaza de los tiburones y el agotamiento de sus escasas reservas obligan a este marinero sin rumbo a mirar a la muerte a los ojos.",Tivify,https://www.themoviedb.org/movie/152747-all-is-lost/watch?locale=ES
Amadeus,Amadeus,28,1984,160,"Drama, Historia, Música",8.023,Miloš Forman,en,United States of America,"Antonio Salieri es el músico más destacado de la corte del Emperador José II de Austria. Entregado completamente a la música, le promete a Dios humildad y castidad si, a cambio, conserva sus extraordinarias dotes musicales. Pero, después de la llegada a la corte de un joven llamado Wolfang Amadeus Mozart, Salieri queda relegado a un segundo plano. Irritado por la pérdida de protagonismo, hará todo lo posible para arruinar la carrera del joven músico. Mientras tanto, Mozart, ajeno a las maquinaciones de Salieri, sorprende a todos con su genialidad como músico, pero también con sus excentricidades.",Filmin,https://www.themoviedb.org/movie/279-amadeus/watch?locale=ES
Amenaza en las sombras,Amenaza en las sombras,,2019,95,"Drama, Suspense, Película de TV",5.9,Michael Feifer,en,United States of America,"Después de una experiencia cercana a la muerte cuando un atacante irrumpe en su casa, Amanda no puede sacudirse la sensación de que todavía está en peligro. Entra el guapo y severo detective James Dawson para salvar el día y vigilar especialmente a Amanda. Tomada por su generosidad y compromiso, Amanda comienza a sentirse más segura, sin darse cuenta de que está dejando que la amenaza real se acerque más que nunca.",,
American graffiti,American Graffiti,100,1973,112,"Comedia, Drama",7.0,George Lucas,en,United States of America,"Es la última noche del verano de 1962, y los jóvenes de Modesto, California, quieren divertirse antes de que lleguen sus resonsabilidades como adultos. Así, todos los adolescentes del pueblo salen esa noche para beber, ligar, pasearse con el coche, ir a la bolera o bailar un rato...",,https://www.themoviedb.org/movie/838-american-graffiti/watch?locale=ES
